Team,Played,Won,Draw,Lost,GF,A,GD,Pts
Liverpool,26,25,1,0,61,15,46,76
Manchester City,25,16,3,6,65,29,36,51
Leicester City,26,15,5,6,54,26,28,50
Chelsea,25,12,5,8,43,34,9,41
Tottenham Hotspur,26,11,7,8,43,34,9,40
Sheffield United,26,10,9,7,28,24,4,39
Wolverhampton Wanderers,26,8,12,6,35,32,3,36
Everton,26,10,6,10,34,38,-4,36
Manchester United,25,9,8,8,36,29,7,35
Arsenal,26,7,13,6,36,34,2,34
Burnley,26,10,4,12,30,39,-9,34
Southampton,26,9,4,13,32,48,-16,31
Newcastle United,26,8,7,11,24,40,-16,31
Crystal Palace,26,7,9,10,23,32,-9,30
Brighton and Hove Albion,26,6,9,11,31,38,-7,27
Bournemouth,26,7,5,14,26,40,-14,26
Aston Villa,26,7,4,15,34,50,-16,25
West Ham United,25,6,6,13,30,43,-13,24
Watford,26,5,9,12,24,40,-16,24
Norwich City,26,4,6,16,24,48,-24,18